date,load
2011-01-01,5262.706448
2011-01-02,5534.482138
2011-01-03,5650.603075
2011-01-04,5700.217784
2011-01-05,5721.41654
2011-01-06,5730.474081
2011-01-07,5734.344075
2011-01-08,5735.997597
2011-01-09,5736.704094
2011-01-10,5737.005957
2011-01-11,5737.134933
2011-01-12,5737.19004
2011-01-13,5737.213586
2011-01-14,5737.223646
2011-01-15,5737.227945
2011-01-16,5737.229781
2011-01-17,5737.230566
2011-01-18,5737.230901
2011-01-19,5737.231045
2011-01-20,5737.231106
2011-01-21,5737.231132
2011-01-22,5737.231143
2011-01-23,5737.231148
2011-01-24,5737.23115
2011-01-25,5737.231151
2011-01-26,5737.231151
2011-01-27,5737.231151
2011-01-28,5737.231151
2011-01-29,5737.231151
2011-01-30,5737.231151
2011-01-31,5737.231151
