"","date","load"
"1",2011-01-01,5296.01890470215
"2",2011-01-02,6199.33327584315
"3",2011-01-03,6440.03442839606
"4",2011-01-04,6351.14527878663
"5",2011-01-05,6291.76905275936
"6",2011-01-06,6179.16259813263
"7",2011-01-07,5992.05889496158
"8",2011-01-08,6154.11943501422
"9",2011-01-09,6369.45372944543
"10",2011-01-10,6348.90357257198
"11",2011-01-11,6189.53145003068
"12",2011-01-12,5992.35621472369
"13",2011-01-13,6073.8007897552
"14",2011-01-14,5822.14920278372
"15",2011-01-15,5613.48533573236
"16",2011-01-16,5443.95256944606
"17",2011-01-17,4838.836605709
"18",2011-01-18,5120.76816224671
"19",2011-01-19,5150.38549979738
"20",2011-01-20,5091.8982004555
"21",2011-01-21,5437.3241181866
"22",2011-01-22,5409.66074808277
"23",2011-01-23,5480.71401463437
"24",2011-01-24,4946.31956324497
"25",2011-01-25,4847.67815692905
"26",2011-01-26,5613.07516727794
"27",2011-01-27,5775.120901336
"28",2011-01-28,5456.05032052465
"29",2011-01-29,5852.91103935894
"30",2011-01-30,6079.89936619855
"31",2011-01-31,6227.96005119846
