"","date","load"
"1",2011-01-01,5461.95561217171
"2",2011-01-02,5561.94650320154
"3",2011-01-03,5347.77351334596
"4",2011-01-04,5327.91196605575
"5",2011-01-05,5337.93404844774
"6",2011-01-06,5336.57752866983
"7",2011-01-07,5449.93331741877
"8",2011-01-08,5663.71193454783
"9",2011-01-09,5659.14086204642
"10",2011-01-10,5487.96064781429
"11",2011-01-11,5435.78310444429
"12",2011-01-12,5455.44470914787
"13",2011-01-13,5441.99915775971
"14",2011-01-14,5556.86143417409
"15",2011-01-15,5767.82697926198
"16",2011-01-16,5759.46230176783
"17",2011-01-17,5579.96901629375
"18",2011-01-18,5522.5185128156
"19",2011-01-19,5537.56839043524
"20",2011-01-20,5519.16627491863
"21",2011-01-21,5630.57380376044
"22",2011-01-22,5839.00194598116
"23",2011-01-23,5825.01952705516
"24",2011-01-24,5637.99243133755
"25",2011-01-25,5574.31638411114
"26",2011-01-26,5583.66497805756
"27",2011-01-27,5559.06289983025
"28",2011-01-28,5664.86563795228
"29",2011-01-29,5867.64700482411
"30",2011-01-30,5846.41461990745
"31",2011-01-31,5651.46370902492
